Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,517,1 BED,38,9,47,61489,2890000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,530,1 BED,38,9,47,61489,2890000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,602,1 BED,49,10,59,61864,3650000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,613,1 BED,49,10,59,63559,3750000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,617,1 BED,38,17,55,59091,3250000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,630,1 BED,38,17,55,59091,3250000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,702,1 BED,38,8,46,69457,3195000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,703,1 BED,38,8,46,69457,3195000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,705,1 BED,48,16,64,65078,4165000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,707,1 BED,43,15,58,66379,3850000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,708,1 BED,43,15,58,66379,3850000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,709,1 BED,43,15,58,66379,3850000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,711,1 BED,48,16,64,65078,4165000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,802,1 BED,38,8,46,70543,3245000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,803,1 BED,38,8,46,70543,3245000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,805,1 BED,48,16,64,66641,4265000,,,SOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,806,1 BED,101,46,147,67993,9995000,,,SOLD,C SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,807,1 BED,43,15,58,67155,3895000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,808,1 BED,43,15,58,67155,3895000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,809,1 BED,43,15,58,67155,3895000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,811,1 BED,48,16,64,66641,4265000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,9th,902,1 BED,38,8,46,71630,3295000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,9th,903,1 BED,38,8,46,71630,3295000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,403,2 BED,63,28,91,58187,5295000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,404,2 BED,78,12,90,69833,6285000,,,UNSOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,407,2 BED,78,12,90,69833,6285000,,,UNSOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,412,2 BED,65,26,91,58187,5295000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,418,2 BED,76,57,133,58361,7762000,,,SOLD,Cnr SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,419,2 BED,70,16,86,66279,5700000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,421,2 BED,69,16,85,67059,5700000,,,UNSOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,423,2 BED,70,16,86,66279,5700000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,425,2 BED,70,16,86,66279,5700000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,427,2 BED,70,16,86,66279,5700000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,4th,429,2 BED,76,56,132,58803,7762000,,,UNSOLD,Cnr CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,503,2 BED,63,28,91,59286,5395000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,509,2 BED,70,16,86,66279,5700000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,512,2 BED,63,28,91,59286,5395000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,518,2 BED,76,57,133,59158,7868000,,,SOLD,Cnr SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,519,2 BED,70,16,86,67419,5798000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,521,2 BED,69,16,85,68212,5798000,,,UNSOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,523,2 BED,69,16,85,68212,5798000,,,UNSOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,525,2 BED,69,16,85,68212,5798000,,,UNSOLD,Sea View
