Last Update,Area,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area ,External Area ,Total Area ,Rate per m2,Price Incl. VAT ,Discounted amount,Launch day Price Incl.VAT,Sold/Unsold(Status),Orientation/View
,Sea Point,EIGHTY2 ON M,Blok,2nd,215,Mini,17,4,21,48810,1025000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,216,1 bed,43,5,48,51042,2450000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,2nd,217,Studio,33,4,37,50676,1875000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,301,Studio,32,6,38,51895,1972010,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,302,Studio,33,6,39,52564,2050000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,303,2 bed,54,11,65,57692,3750000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,304,Micro,20,4,24,56250,1350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,305,Micro,20,4,24,56250,1350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,306,Micro,20,4,24,56250,1350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,307,Micro,20,4,24,56250,1350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,308,Micro,20,4,24,56250,1350000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,309,1 bed,32,4,36,59722,2150000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,310,Micro,21,4,25,55000,1375000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,311,Micro,21,4,25,55000,1375000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,312,Micro,22,4,26,52885,1375000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,313,1 bed,32,9,41,55488,2275000,,,Unsold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,314,Micro,21,4,25,49000,1225000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,315,1 bed,39,6,45,57778,2600000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,316,1 bed,43,5,48,55208,2650000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,3rd,317,Studio,32,5,37,53919,1995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,401,Studio,32,4,36,62500,2250000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,402,1 bed,42,11,53,54245,2875000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,403,1 bed,41,12,53,54245,2875000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,404,Micro,20,4,24,61458,1475000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,405,Micro,20,4,24,61458,1475000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,406,Micro,20,4,24,61458,1475000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,407,Micro,20,4,24,61458,1475000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,408,Micro,20,4,24,60417,1450000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,409,1 bed,32,4,36,63889,2300000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,410,Micro,21,4,25,58000,1450000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,411,Micro,21,4,25,59800,1495000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,412,Micro,22,4,26,57500,1495000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,413,1 bed,40,9,49,54592,2675000,,,Unsold,
,Sea Point,EIGHTY2 ON M,Blok,4th,414,1 bed,27,3,30,50833,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,415,2 bed,68,11,79,55380,4375000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,4th,416,Studio,32,4,36,62500,2250000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,501,Studio,33,4,37,63568,2352000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,502,1 bed,42,16,58,51638,2995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,503,1 bed,41,16,57,52193,2975000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,504,Micro,20,4,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,505,Micro,20,4,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,506,Micro,20,4,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,507,Micro,20,4,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,508,Micro,20,4,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,509,1 bed,32,3,35,68571,2400000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,510,Micro,21,4,25,61000,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,511,Micro,21,4,25,61000,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,512,Micro,22,4,26,58654,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,513,1 bed,34,6,40,61250,2450000,,,Unsold,
,Sea Point,EIGHTY2 ON M,Blok,5th,514,Micro,21,3,24,63542,1525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,515,1 bed,38,5,43,65000,2795000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,516,1 bed,43,3,46,61304,2820000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,5th,517,Studio,32,3,35,68571,2400000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,601,2 bed,74,18,92,59239,5450000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,602,2 bed,69,14,83,54819,4550000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,603,1 bed,40,7,47,60106,2825000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,604,1 bed,42,6,48,58854,2825000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,605,1 bed,32,4,36,70139,2525000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,606,Micro,20,4,24,66667,1600000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,607,1 bed,43,7,50,59900,2995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,608,2 bed,65,9,74,60811,4500000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,609,2 bed,67,7,74,63176,4675000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,6th,610,Studio,32,3,35,68571,2400000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,701,2 bed,74,20,94,60106,5650000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,702,2 bed,67,11,78,60577,4725000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,703,1 bed,42,7,49,61122,2995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,704,1 bed,42,7,49,61122,2995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,705,1 bed,32,3,35,74286,2600000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,706,Micro,20,4,24,67708,1625000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,707,1 bed,42,7,49,61122,2995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,708,2 bed,65,9,74,63176,4675000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,709,2 bed,66,7,73,66781,4875000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,7th,710,Studio,32,4,36,73611,2650000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,8th,801,2 bed,80,9,89,67360,5995000,,,Unsold,
,Sea Point,EIGHTY2 ON M,Blok,8th,802,2 bed,78,16,94,63777,5995000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,8th,803,2 bed,84,16,100,67150,6715000,,,Sold,
,Sea Point,EIGHTY2 ON M,Blok,8th,804,2 bed,92,11,103,64612,6655000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,101,1 bed,35,12,47,50000,2350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,102,1 bed,35,12,47,50000,2350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,103,Studio,29,1,30,49167,1475000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,104,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,105,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,106,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,107,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,108,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,109,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,1st,110,Micro,20,1,21,54762,1150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,201,Studio,29,4,33,51364,1695000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,202,Micro,17,1,18,55278,995000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,203,Micro,17,1,18,55278,995000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,204,Micro,24,1,25,53000,1325000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,205,Studio,31,3,34,54412,1850000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,206,Studio,30,4,34,54412,1850000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,207,Micro,20,3,23,58696,1350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,208,Micro,20,3,23,58696,1350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,209,Micro,20,3,23,58696,1350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,210,Micro,20,3,23,58696,1350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,211,Micro,20,3,23,58696,1350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,212,1 bed,40,7,47,56383,2650000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,213,Studio,34,5,39,55128,2150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,214,Studio,34,5,39,55128,2150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,215,Micro,20,4,24,53958,1295000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,216,Micro,20,4,24,53958,1295000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,217,Micro,24,4,28,53393,1495000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,218,Studio,30,5,35,52857,1850000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,219,Studio,29,5,34,53382,1815000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,220,Studio,29,5,34,53382,1815000,,,Sold,
,Sea Point,THREE43 ON B,Blok,2nd,221,Studio,28,5,33,55000,1815000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,301,Studio,29,4,33,55303,1825000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,302,Micro,17,1,18,58333,1050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,303,Micro,17,1,18,58333,1050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,304,Micro,24,1,25,58000,1450000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,305,Studio,31,3,34,60294,2050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,306,Studio,30,4,34,60294,2050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,307,Micro,20,3,23,61522,1415000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,308,Micro,20,3,23,61522,1415000,,,Sold,
